rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
1,high court,94,1967,1967,"spacy,textacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"These appeals arise out of the judgment of the High Court of Punjab and Haryana dated 27th November, 2000."
2,court,100,5594,1964,"spacy,textacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"In order to involve other co-accused who had taken no overt part in the incident, a material improvement was made by him in the statement in court by attributing that both the members of the parties (Nos. 1 & 2) were raising Lalkaras indica"
3,section,90,2321,1860,"spacy,textacy,yake",1,informative,STATUTE-PROVISION,,RULE,,"Additional sessions Judge, Amritsar in Sessions Trial No. 1/95 convicted all the six accused for offences under Sections 302, 307, 323, 324, 326 read with Sections 148 & 149 IPC and sentenced them all to life imprisonment and separate sente"
4,case,100,2604,1702,"spacy,textacy,yake",0,non-informative,ASPECT,,,,CASE AGAINST HARJIT SINGH (A-1) Harjit Singh
5,appellant,93,1786,1426,"spacy,textacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,"The conviction of appellant/accused Harjit Singh (A-1) and sentences imposed on him under Sections 302, 324, 323 & 326 of IPC are hereby maintained."
6,state,90,3414,1331,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"And vs State Of Punjab on 16 August, 2002"
7,act,98,3448,1232,"spacy,yake",1,informative,STATUTE-PROVISION,,RULE,,"The act of members of party No. 2 in rushing towards the scene of occurrence, where the members of the first party after reaching on a Tractor had already clashed with the deceased and Gurvinder Singh (PW-3), does not show a common intentio"
8,order,97,2471,1218,"spacy,textacy,yake",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"(sic) preferred by the convicted accused Harjit Singh, Varinderjit Singh and Gursharan Singh hereinafter they shall be described as accused Nos. 1, 2 & 6 being the order in which they were arraigned before the trial court."
9,date,98,1374,1094,"rake,spacy,textacy",0,non-informative,TEMPORAL,,,,The defence of accused Harjit Singh A1 as contained in his statement recorded under Section 313 Cr.P.C. is as under: He accepts his presence on the date and time of the incident.
10,india,65,1440,1017,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Author: Dalveer Bhandari Bench: K.S. Radhakrishnan, Dalveer Bhandari REPORTABLE IN THE SUPREME COURT OF INDIA CRIMINAL APPELLATE JURISDICTION"
11,article,47,1125,1015,"spacy,yake",1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
12,respondent,91,1488,983,"spacy,textacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,It was also alleged that respondent no.2 was physically assaulted at Mumbai.
13,government,52,1345,915,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"We direct the Registry to send a copy of this judgment to the Law Commission and to the Union Law Secretary, Government of India who may place it before the Hon'ble Minister for Law & Justice to take appropriate steps in the larger interest"
